,open,high,low,close,volume,value,ma5,range,target,bull,ror,hpr,dd
2021-03-31 09:00:00,65.3,66.4,63.2,65.5,432703087.828078,28083994889.5986,64.82,1.6,66.8,1,1,0.951635347268338,16.5090438953206
2021-04-01 09:00:00,65.5,98.2,65,77.3,10469496113.7018,845529266588.861,65.02,16.6,67.1,1,1.14881192250373,1.09325003281784,4.08459420570911
2021-04-02 09:00:00,77.3,78.8,71.5,72.3,2627589836.35511,192940963038.642,67.48,3.65,93.9,1,1,1.09325003281784,4.08459420570911
2021-04-03 09:00:00,72.3,75.9,70.3,70.3,1856305852.33318,136742813781.225,69,2.8,75.95,1,1,1.09325003281784,4.08459420570911
2021-04-04 09:00:00,70.4,73.4,70,73.2,934727841.141757,67503321837.7349,70.14,1.7,73.2,1,0.9968,1.08975163271282,4.39152350425086
2021-04-05 09:00:00,73.2,87.5,72.9,81.1,2344578732.10337,179958773672.823,71.72,7.3,74.9,1,1.07957703604806,1.17647083767265,0
2021-04-06 09:00:00,80.8,94.7,75,86.3,4382040429.74807,363695378614.071,74.84,9.85,88.1,1,0.976368671963678,1.14866926938244,2.36313280363224
2021-04-07 09:00:00,86.3,94.4,60,76.5,4989639761.01373,408177530524.319,76.64,17.2,96.15,1,1,1.14866926938244,2.36313280363224
2021-04-08 09:00:00,76.5,80.9,74.4,80.5,1649035402.16258,128589000482.485,77.48,3.25,93.7,0,1,1.14866926938244,2.36313280363224
2021-04-09 09:00:00,80.5,84.3,77.5,80.8,1694365686.56117,135672862259.037,79.52,3.4,83.75,1,0.961576119402985,1.10453293853023,6.11472013065207
2021-04-10 09:00:00,80.7,85.3,79.5,84,1413635557.17114,116278519195.612,81.04,2.9,84.1,0,1,1.10453293853023,6.11472013065207
2021-04-11 09:00:00,84,108,82.6,98.2,15762269401.879,1503657102792.84,81.62,12.7,86.9,1,1.12683452243959,1.2446258463075,0
2021-04-12 09:00:00,98.1,101,90.4,92.2,3234039959.08606,304482802687.436,84,5.3,110.8,1,1,1.2446258463075,0
2021-04-13 09:00:00,92.4,125,92.2,121,10364152083.6189,1103238430195.92,87.14,16.4,97.7,1,1.23528515864893,1.53746783601451,0
2021-04-14 09:00:00,121,190,116,155,25787865058.8392,4090790583611.13,95.24,37,137.4,1,1.12489315866084,1.72948705039382,0
2021-04-15 09:00:00,155,238,151,228,14682869303.964,2757741996649.09,110.08,43.5,192,1,1.1843,2.0482315137814,0
2021-04-16 09:00:00,229,540,223,467,44163916047.3522,16643080228692.4,138.88,158.5,272.5,1,1.71056146788991,3.50362590479228,0
2021-04-17 09:00:00,465,488,306,366,17016335307.671,6438699117363.75,212.64,91,623.5,1,1,3.50362590479228,0
2021-04-18 09:00:00,366,471,326,434,19636950608.9872,7949139579003.47,267.4,72.5,457,1,0.946471772428884,3.3160830200365,5.35282275711159
2021-04-19 09:00:00,434,575,408,513,19057462774.1519,9449963334822.66,330,83.5,506.5,1,1.00963316880553,3.34802740754166,4.44107052176412
2021-04-20 09:00:00,514,535,340,395,13737558760.9368,6363888182160.55,401.6,97.5,597.5,1,1,3.34802740754166,4.44107052176412
2021-04-21 09:00:00,398,439,371,388,6428637073.73925,2575943410234.54,435,34,495.5,0,1,3.34802740754166,4.44107052176412
2021-04-22 09:00:00,388,393,287,301,8213180883.98748,2777487853212.37,419.2,53,422,0,1,3.34802740754166,4.44107052176412
2021-04-23 09:00:00,302,316,198,295,11307842963.4613,2980211046526.37,406.2,59,355,0,1,3.34802740754166,4.44107052176412
2021-04-24 09:00:00,294,349,273,327,8812486631.44875,2822961856514.16,378.4,38,353,0,1,3.34802740754166,4.44107052176412
2021-04-25 09:00:00,328,357,277,309,4907089687.78133,1603907953942.79,341.2,40,366,0,1,3.34802740754166,4.44107052176412
2021-04-26 09:00:00,309,336,298,324,3272700850.90033,1041960099548.43,324,19,349,0,1,3.34802740754166,4.44107052176412
2021-04-27 09:00:00,325,335,310,322,2555108535.0965,822585395037.401,311.2,12.5,344,1,1,3.34802740754166,4.44107052176412
2021-04-28 09:00:00,322,419,298,376,12573607576.2457,4563380401554.36,315.4,60.5,334.5,1,1.12086576980568,3.7526893174847,0
2021-04-29 09:00:00,377,388,354,363,2942668995.73226,1088300185751.02,331.6,17,437.5,1,1,3.7526893174847,0
2021-04-30 09:00:00,363,405,360,398,2756637378.34651,1043598015970.81,338.8,22.5,380,1,1.04416842105263,3.91843967933907,0
2021-05-01 09:00:00,397,474,384,465,5159788208.24972,2222805667455.55,356.6,45,419.5,1,1.10526245530393,4.33090426094666,0
2021-05-02 09:00:00,464,483,434,453,3530273013.89183,1624351694398.57,384.8,24.5,509,1,1,4.33090426094666,0
2021-05-03 09:00:00,453,548,453,539,4918062599.18471,2437426173499.24,411,47.5,477.5,1,1.12559581151832,4.87484769620843,0
2021-05-04 09:00:00,539,768,501,675,17030012491.0006,10928695933774.1,443.6,133.5,586.5,1,1.14769514066496,5.59483901242019,0
2021-05-05 09:00:00,674,887,668,783,15198662286.4726,11907973114097.6,506,109.5,807.5,1,0.966459442724458,5.40718499407668,3.35405572755417
2021-05-06 09:00:00,783,805,670,708,5872843110.33546,4323536811067.01,583,67.5,892.5,1,1,5.40718499407668,3.35405572755417
2021-05-07 09:00:00,708,868,628,825,9917440282.63205,7387161471774.23,631.6,120,775.5,1,1.06062978723404,5.73502146980266,0
2021-05-08 09:00:00,823,889,751,774,7256867945.23176,5978179224604.23,706,69,943,1,1,5.73502146980266,0
2021-05-09 09:00:00,773,844,548,703,16065916032.797,10583724282016.7,753,148,842,1,0.831716864608076,4.76991407532426,16.8283135391924
2021-05-10 09:00:00,703,704,555,575,5902763023.24415,3711874789142.54,758.6,74.5,851,0,1,4.76991407532426,16.8283135391924
2021-05-11 09:00:00,574,674,563,607,6977593295.69854,4327688288934.94,717,55.5,648.5,0,1,4.76991407532426,16.8283135391924
2021-05-12 09:00:00,606,634,487,504,3357815770.60319,1956715752539.85,696.8,73.5,661.5,0,1,4.76991407532426,16.8283135391924
2021-05-13 09:00:00,503,650,471,616,8336737888.34724,4556856178475.86,632.6,89.5,576.5,0,1,4.76991407532426,16.8283135391924
2021-05-14 09:00:00,617,717,584,693,10570370472.1047,6969396054181.49,601,66.5,706.5,1,0.977691719745223,4.66350549534073,18.6837308300225
2021-05-15 09:00:00,692,695,621,636,3773363163.03357,2453229656726.34,599,37,758.5,1,1,4.66350549534073,18.6837308300225
2021-05-16 09:00:00,637,673,576,638,3128991106.92893,1997627780858.1,611.2,48.5,674,1,1,4.66350549534073,18.6837308300225
2021-05-17 09:00:00,638,644,554,604,4467635185.12507,2691795126939.02,617.4,45,686.5,1,1,4.66350549534073,18.6837308300225
2021-05-18 09:00:00,605,633,587,595,2024235229.92893,1224791340834.65,637.4,23,650,0,1,4.66350549534073,18.6837308300225
2021-05-19 09:00:00,595,596,360,455,10076059168.2071,4994540430653.25,633.2,118,618,0,1,4.66350549534073,18.6837308300225
2021-05-20 09:00:00,455,539,413,503,7059011092.48476,3434457257784.34,585.6,63,573,0,1,4.66350549534073,18.6837308300225
2021-05-21 09:00:00,504,519,423,471,3139176782.45366,1495395753070.34,559,48,567,0,1,4.66350549534073,18.6837308300225
2021-05-22 09:00:00,471,472,390,433,2296736658.50286,987646588951.327,525.6,41,519,0,1,4.66350549534073,18.6837308300225
2021-05-23 09:00:00,432,448,316,375,3237928083.76617,1230729101354.83,491.4,66,473,0,1,4.66350549534073,18.6837308300225
2021-05-24 09:00:00,375,450,348,443,3361571939.13527,1340921162571.34,447.4,51,441,0,1,4.66350549534073,18.6837308300225
2021-05-25 09:00:00,443,473,400,426,2724139017.17735,1171030594884.78,445,36.5,494,0,1,4.66350549534073,18.6837308300225
2021-05-26 09:00:00,426,439,414,426,1223782214.37553,521546794456.692,429.6,12.5,462.5,0,1,4.66350549534073,18.6837308300225
